Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,2280109.0,2308400.0,16640.6,2275784.5,2341015.5,7.12,7.44,12.73,4.96,7.44,1
1,1,2280109.0,2288800.0,16764.78,2255941.0,2321659.0,7.11,7.42,12.83,5.04,7.42,1
2,1,2280109.0,2276400.0,16352.51,2244349.0,2308451.0,7.09,7.42,12.8,5.01,7.42,1
3,1,2280109.0,2269200.0,16765.83,2236339.0,2302061.0,7.03,7.42,12.66,4.96,7.42,1
4,1,2280109.0,2265800.0,16427.83,2233601.5,2297998.5,7.03,7.42,12.66,4.96,7.42,1
5,1,2280109.0,2292000.0,16754.11,2259162.0,2324838.0,7.02,7.44,12.78,5.06,7.44,1
6,1,2280109.0,2279600.0,16838.64,2246596.25,2312603.75,7.07,7.42,12.67,4.97,7.42,1
7,1,2280109.0,2283200.0,17108.77,2249666.75,2316733.25,7.12,7.42,12.65,4.96,7.42,1
8,1,2280109.0,2242800.0,17131.56,2209222.25,2276377.75,7.16,7.44,12.8,5.09,7.44,0
9,1,2280109.0,2310200.0,17407.8,2276080.75,2344319.25,7.02,7.42,12.63,4.94,7.42,1
0,2,2785246.0,2797800.0,17133.63,2764218.0,2831382.0,7.09,7.44,12.34,4.55,7.44,1
1,2,2785246.0,2792600.0,17617.79,2758069.25,2827130.75,7.13,7.44,12.44,4.64,7.44,1
2,2,2785246.0,2768400.0,17255.78,2734578.75,2802221.25,7.11,7.45,12.19,4.47,7.45,1
3,2,2785246.0,2783800.0,17118.73,2750247.25,2817352.75,7.11,7.43,12.35,4.55,7.43,1
4,2,2785246.0,2780200.0,17542.57,2745816.5,2814583.5,7.13,7.43,12.19,4.48,7.43,1
5,2,2785246.0,2808600.0,16998.31,2775283.25,2841916.75,7.16,7.46,12.38,4.54,7.46,1
6,2,2785246.0,2786800.0,17242.34,2753005.0,2820595.0,7.1,7.45,12.24,4.51,7.45,1
7,2,2785246.0,2798400.0,16979.16,2765120.75,2831679.25,6.99,7.43,12.19,4.48,7.43,1
8,2,2785246.0,2758800.0,17364.13,2724766.25,2792833.75,7.11,7.45,12.19,4.47,7.45,1
9,2,2785246.0,2793400.0,17316.62,2759459.5,2827340.5,7.12,7.44,12.42,4.7,7.44,1
0,3,1928020.0,1927000.0,16265.07,1895120.5,1958879.5,7.07,7.42,12.3,4.61,7.42,1
