Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,22790627.0,22814800.0,54096.96,22708770.0,22920830.0,84.81,88.32,160.73,63.43,88.32,1
1,1,22790627.0,22826400.0,54242.28,22720086.0,22932714.0,84.95,88.3,149.86,55.86,88.3,1
2,1,22790627.0,22764800.0,51020.59,22664800.0,22864800.0,84.92,88.22,147.47,51.71,88.22,1
3,1,22790627.0,22769600.0,52640.48,22666424.0,22872776.0,84.82,88.28,162.01,65.07,88.28,1
4,1,22790627.0,22779800.0,53890.1,22674176.0,22885424.0,84.89,88.38,155.75,56.45,88.38,1
5,1,22790627.0,22763400.0,55074.8,22655454.0,22871346.0,84.81,88.27,158.07,64.35,88.27,1
6,1,22790627.0,22747400.0,52209.88,22645068.0,22849732.0,84.86,88.27,152.88,55.33,88.27,1
7,1,22790627.0,22757000.0,54364.95,22650444.0,22863556.0,84.96,88.38,163.52,64.14,88.38,1
8,1,22790627.0,22757400.0,51811.46,22655850.0,22858950.0,84.94,88.44,154.84,60.27,88.44,1
9,1,22790627.0,22864800.0,52140.25,22762606.0,22966994.0,84.89,88.33,149.58,54.71,88.33,1
0,2,27856078.0,27865800.0,53880.17,27760194.0,27971406.0,84.91,88.49,147.16,49.98,88.49,1
1,2,27856078.0,27832200.0,53616.12,27727112.0,27937288.0,84.82,88.49,149.68,50.95,88.49,1
2,2,27856078.0,27847800.0,53694.6,27742558.0,27953042.0,84.91,88.48,142.37,48.65,88.48,1
3,2,27856078.0,27847800.0,55427.7,27739162.0,27956438.0,84.93,88.5,148.78,51.05,88.5,1
4,2,27856078.0,27820800.0,54545.72,27713890.0,27927710.0,84.91,88.5,148.63,49.16,88.5,1
5,2,27856078.0,27808200.0,55762.14,27698906.0,27917494.0,84.82,88.36,148.35,51.19,88.36,1
6,2,27856078.0,27900000.0,53250.84,27795628.0,28004372.0,84.91,88.43,148.83,51.73,88.43,1
7,2,27856078.0,27891800.0,54435.14,27785108.0,27998492.0,84.87,88.4,150.73,51.32,88.4,1
8,2,27856078.0,27929000.0,54487.71,27822204.0,28035796.0,84.93,88.42,153.66,54.01,88.42,1
9,2,27856078.0,27804400.0,55745.84,27695138.0,27913662.0,85.0,88.54,155.79,56.23,88.54,1
0,3,19280625.0,19404200.0,52276.57,19301738.0,19506662.0,84.94,88.13,149.26,50.07,88.13,0
1,3,19280625.0,19221000.0,50629.68,19121766.0,19320234.0,85.1,88.04,150.57,51.49,88.04,1
2,3,19280625.0,19283200.0,50510.44,19184200.0,19382200.0,84.65,87.99,152.27,53.19,87.99,1
3,3,19280625.0,19271200.0,50251.7,19172706.0,19369694.0,84.72,87.97,158.16,59.18,87.97,1
4,3,19280625.0,19324400.0,50481.37,19225456.0,19423344.0,84.94,88.21,151.73,52.44,88.21,1
5,3,19280625.0,19287600.0,51813.86,19186044.0,19389156.0,84.85,88.06,150.67,51.52,88.06,1
6,3,19280625.0,19266200.0,50895.07,19166446.0,19365954.0,84.89,88.1,155.09,55.93,88.1,1
7,3,19280625.0,19278200.0,51272.62,19177706.0,19378694.0,84.71,88.1,151.28,52.1,88.1,1
8,3,19280625.0,19248000.0,50011.4,19149978.0,19346022.0,84.89,87.98,155.81,56.81,87.98,1
9,3,19280625.0,19226200.0,51610.35,19125044.0,19327356.0,84.43,88.12,150.39,51.26,88.12,1
0,4,21809885.0,21874200.0,51700.08,21772868.0,21975532.0,84.69,88.13,165.33,66.1,88.13,1
1,4,21809885.0,21856400.0,52710.0,21753088.0,21959712.0,85.02,88.34,169.76,70.35,88.34,1
2,4,21809885.0,21862200.0,51535.69,21761190.0,21963210.0,85.0,88.29,168.29,69.03,88.29,1
3,4,21809885.0,21797400.0,52360.15,21694774.0,21900026.0,85.1,88.41,161.34,61.85,88.41,1
4,4,21809885.0,21823800.0,52589.48,21720724.0,21926876.0,84.96,88.31,163.2,63.81,88.31,1
5,4,21809885.0,21823400.0,52720.12,21720068.0,21926732.0,84.88,88.24,166.07,66.83,88.24,1
6,4,21809885.0,21732800.0,52747.11,21629416.0,21836184.0,85.0,88.34,165.04,65.65,88.34,1
7,4,21809885.0,21789200.0,51834.24,21687604.0,21890796.0,84.87,88.23,175.05,75.79,88.23,1
8,4,21809885.0,21816600.0,52200.86,21714286.0,21918914.0,84.89,88.31,164.35,65.1,88.31,1
9,4,21809885.0,21799800.0,53830.41,21694292.0,21905308.0,84.58,88.12,162.53,63.39,88.12,1
0,5,43877172.0,43968800.0,48971.43,43872816.0,44064784.0,84.7,87.8,174.17,75.34,87.81,1
1,5,43877172.0,43842600.0,49940.52,43744716.0,43940484.0,84.85,87.9,173.56,74.67,87.9,1
2,5,43877172.0,43855800.0,47712.07,43762284.0,43949316.0,84.79,87.86,165.86,66.99,87.86,1
3,5,43877172.0,43829200.0,49549.08,43732084.0,43926316.0,84.67,87.79,174.64,75.81,87.79,1
4,5,43877172.0,43914200.0,48566.77,43819008.0,44009392.0,84.98,88.06,168.19,69.13,88.06,1
5,5,43877172.0,43923600.0,49389.06,43826796.0,44020404.0,84.75,87.82,170.35,71.52,87.82,1
6,5,43877172.0,43792800.0,49300.24,43696172.0,43889428.0,84.89,87.95,169.08,70.09,87.95,1
7,5,43877172.0,43869000.0,46937.37,43777004.0,43960996.0,84.93,87.98,169.98,70.93,87.98,1
8,5,43877172.0,43823400.0,48380.37,43728576.0,43918224.0,84.82,87.96,172.61,73.6,87.96,1
9,5,43877172.0,43892800.0,47014.38,43800652.0,43984948.0,84.86,87.97,172.35,73.33,87.97,1
0,6,16357096.0,16309200.0,48205.4,16214717.0,16403683.0,84.91,87.87,161.54,62.61,87.87,1
