Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,22790627.0,22778500.0,38571.37,22702900.0,22854100.0,178.43,185.5,261.33,64.76,185.5,1
1,1,22790627.0,22782600.0,38082.5,22707958.0,22857242.0,178.58,185.54,260.01,63.4,185.54,1
2,1,22790627.0,22801700.0,37176.66,22728834.0,22874566.0,178.63,185.74,259.71,62.98,185.74,1
3,1,22790627.0,22868100.0,37546.45,22794508.0,22941692.0,178.51,185.54,249.81,58.45,185.54,0
4,1,22790627.0,22805600.0,38638.51,22729868.0,22881332.0,178.65,185.78,249.88,53.42,185.78,1
5,1,22790627.0,22834300.0,37482.66,22760834.0,22907766.0,178.56,185.66,248.12,57.71,185.66,1
6,1,22790627.0,22769000.0,36889.34,22696696.0,22841304.0,178.56,185.61,247.53,52.03,185.61,1
7,1,22790627.0,22773700.0,37326.68,22700540.0,22846860.0,178.81,185.86,250.39,56.7,185.86,1
8,1,22790627.0,22862200.0,37242.73,22789204.0,22935196.0,178.94,185.9,245.92,56.27,185.9,1
9,1,22790627.0,22780900.0,37201.86,22707984.0,22853816.0,178.54,185.52,254.6,58.97,185.52,1
0,2,27856078.0,27847000.0,37570.21,27773362.0,27920638.0,178.29,185.56,247.74,55.9,185.56,1
1,2,27856078.0,27846900.0,37969.32,27772480.0,27921320.0,178.74,186.15,243.68,50.69,186.15,1
2,2,27856078.0,27836400.0,39049.03,27759864.0,27912936.0,178.25,185.57,247.1,51.95,185.57,1
3,2,27856078.0,27873200.0,37626.67,27799452.0,27946948.0,178.36,185.65,245.48,52.45,185.65,1
4,2,27856078.0,27918000.0,38501.17,27842538.0,27993462.0,178.41,185.72,247.87,51.3,185.72,1
5,2,27856078.0,27857200.0,38350.71,27782032.0,27932368.0,178.43,185.89,246.47,49.63,185.89,1
6,2,27856078.0,27873600.0,38197.6,27798732.0,27948468.0,178.71,186.09,247.44,54.81,186.09,1
7,2,27856078.0,27875300.0,38674.45,27799498.0,27951102.0,178.49,185.7,242.89,47.13,185.7,1
8,2,27856078.0,27848700.0,39667.8,27770952.0,27926448.0,178.9,186.11,246.93,49.7,186.11,1
9,2,27856078.0,27799000.0,37300.32,27725892.0,27872108.0,178.34,185.66,247.05,50.3,185.66,1
0,3,19280625.0,19294500.0,36448.19,19223062.0,19365938.0,178.61,185.19,248.0,51.62,185.19,1
1,3,19280625.0,19279700.0,36385.75,19208384.0,19351016.0,178.16,185.13,249.97,53.81,185.13,1
2,3,19280625.0,19308500.0,35578.15,19238766.0,19378234.0,178.7,185.35,248.88,52.45,185.35,1
3,3,19280625.0,19266000.0,36240.71,19194968.0,19337032.0,178.28,184.92,246.99,50.99,184.92,1
4,3,19280625.0,19348800.0,37145.6,19275994.0,19421606.0,178.69,185.35,251.76,55.36,185.35,1
5,3,19280625.0,19278900.0,36663.7,19207040.0,19350760.0,178.36,185.09,248.48,52.34,185.09,1
6,3,19280625.0,19343600.0,36479.73,19272100.0,19415100.0,178.59,185.28,246.36,49.9,185.28,1
