Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,2280109.0,2220000.0,39047.7,2143466.5,2296533.5,0.13,0.13,5.49,5.02,0.13,1
1,1,2280109.0,2337000.0,35654.95,2267116.25,2406883.75,0.13,0.13,5.52,5.1,0.13,1
2,1,2280109.0,2289000.0,37949.18,2214619.5,2363380.5,0.13,0.13,5.46,5.05,0.13,1
3,1,2280109.0,2277000.0,37379.62,2203736.0,2350264.0,0.13,0.13,5.58,5.08,0.13,1
4,1,2280109.0,2254000.0,35400.55,2184615.0,2323385.0,0.13,0.13,5.47,5.06,0.13,1
5,1,2280109.0,2228000.0,36304.25,2156843.75,2299156.25,0.12,0.13,5.33,4.93,0.13,1
6,1,2280109.0,2329000.0,37074.8,2256333.5,2401666.5,0.13,0.13,5.42,5.01,0.13,1
7,1,2280109.0,2276000.0,36755.47,2203959.25,2348040.75,0.12,0.13,5.78,5.29,0.13,1
8,1,2280109.0,2282000.0,35402.17,2212611.75,2351388.25,0.13,0.13,5.62,5.12,0.13,1
9,1,2280109.0,2297000.0,39089.12,2220385.25,2373614.75,0.12,0.13,5.49,5.09,0.13,1
0,2,2785246.0,2781999.0,36943.18,2709590.25,2854407.75,0.11,0.13,5.14,4.64,0.13,1
1,2,2785246.0,2743999.0,40515.01,2664589.5,2823408.5,0.12,0.12,5.3,4.82,0.12,1
2,2,2785246.0,2834999.0,37951.24,2760614.5,2909383.5,0.13,0.13,5.13,4.73,0.13,1
3,2,2785246.0,2850999.0,37027.0,2778426.0,2923572.0,0.13,0.13,4.88,4.48,0.13,1
4,2,2785246.0,2760999.0,39056.82,2684447.5,2837550.5,0.11,0.12,5.12,4.71,0.12,1
5,2,2785246.0,2763999.0,36758.01,2691953.25,2836044.75,0.11,0.12,4.9,4.49,0.12,1
6,2,2785246.0,2769999.0,39801.52,2691988.0,2848010.0,0.13,0.13,5.12,4.72,0.13,1
7,2,2785246.0,2803999.0,40375.3,2724863.5,2883134.5,0.12,0.13,5.11,4.71,0.13,1
8,2,2785246.0,2706999.0,37453.38,2633590.5,2780407.5,0.11,0.13,4.91,4.51,0.13,0
9,2,2785246.0,2763999.0,41157.35,2683330.5,2844667.5,0.11,0.12,5.0,4.6,0.12,1
0,3,1928020.0,1923999.0,36680.64,1852105.0,1995893.0,0.13,0.13,5.17,4.68,0.13,1
1,3,1928020.0,1878999.0,37755.57,1804998.12,1952999.88,0.13,0.13,5.29,4.79,0.13,1
2,3,1928020.0,1905999.0,39551.68,1828477.75,1983520.25,0.1,0.13,4.97,4.56,0.13,1
3,3,1928020.0,1888999.0,35732.17,1818964.0,1959034.0,0.14,0.14,5.19,4.77,0.14,1
4,3,1928020.0,1891999.0,34991.71,1823415.25,1960582.75,0.1,0.12,4.93,4.54,0.12,1
5,3,1928020.0,1997999.0,34861.41,1929670.62,2066327.38,0.12,0.13,4.92,4.51,0.13,0
6,3,1928020.0,1890999.0,34832.44,1822727.38,1959270.62,0.13,0.13,5.16,4.75,0.13,1
7,3,1928020.0,1940999.0,37412.47,1867670.5,2014327.5,0.12,0.13,4.92,4.52,0.13,1
8,3,1928020.0,1916999.0,33577.97,1851186.12,1982811.88,0.13,0.13,5.02,4.61,0.13,1
9,3,1928020.0,1969999.0,35177.79,1901050.5,2038947.5,0.1,0.13,4.94,4.54,0.13,1
0,4,2180873.0,2124000.0,38042.03,2049437.62,2198562.5,0.12,0.12,6.54,6.05,0.12,1
1,4,2180873.0,2112000.0,34228.51,2044912.12,2179088.0,0.12,0.12,6.51,5.99,0.12,0
2,4,2180873.0,2223000.0,37673.75,2149159.5,2296840.5,0.13,0.13,6.27,5.87,0.13,1
3,4,2180873.0,2232000.0,38209.73,2157109.0,2306891.0,0.12,0.13,6.28,5.88,0.13,1
4,4,2180873.0,2176000.0,38708.56,2100131.25,2251868.75,0.11,0.12,6.26,5.87,0.12,1
5,4,2180873.0,2260000.0,38865.67,2183823.25,2336176.75,0.13,0.13,6.56,6.15,0.13,0
6,4,2180873.0,2174000.0,41074.66,2093493.62,2254506.25,0.11,0.13,6.33,5.92,0.13,1
7,4,2180873.0,2268000.0,40062.08,2189478.25,2346521.75,0.13,0.13,6.42,5.95,0.13,0
8,4,2180873.0,2187000.0,35338.73,2117736.0,2256264.0,0.11,0.12,6.44,5.94,0.12,1
9,4,2180873.0,2192000.0,37959.65,2117599.0,2266401.0,0.1,0.13,6.27,5.87,0.13,1
0,5,4388299.0,4308000.0,34542.24,4240297.0,4375703.0,0.12,0.13,6.9,6.5,0.13,0
1,5,4388299.0,4409000.0,33739.02,4342871.5,4475128.5,0.12,0.13,6.87,6.46,0.13,1
2,5,4388299.0,4299000.0,36656.75,4227153.0,4370847.0,0.13,0.13,6.75,6.35,0.13,0
3,5,4388299.0,4431000.0,33345.72,4365642.5,4496357.5,0.12,0.12,6.9,6.42,0.12,1
