Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,2280109.0,2279800.0,17528.69,2245443.75,2314156.25,0.73,0.74,6.07,5.0,0.74,1
1,1,2280109.0,2268400.0,15576.58,2237870.0,2298930.0,0.73,0.74,6.35,5.33,0.74,1
2,1,2280109.0,2295000.0,18656.13,2258434.0,2331566.0,0.69,0.74,6.09,5.08,0.74,1
3,1,2280109.0,2240200.0,15701.26,2209425.5,2270974.5,0.71,0.74,6.11,5.08,0.74,0
4,1,2280109.0,2282400.0,17833.83,2247445.75,2317354.25,0.7,0.74,6.08,5.07,0.74,1
5,1,2280109.0,2280000.0,17947.42,2244823.0,2315177.0,0.71,0.74,6.17,5.15,0.74,1
6,1,2280109.0,2310800.0,18816.96,2273918.75,2347681.25,0.73,0.75,5.94,4.92,0.75,1
7,1,2280109.0,2278400.0,15746.15,2247537.5,2309262.5,0.69,0.74,6.1,5.09,0.74,1
8,1,2280109.0,2274400.0,16876.76,2241321.5,2307478.5,0.72,0.75,5.98,4.96,0.75,1
9,1,2280109.0,2312000.0,17018.38,2278644.0,2345356.0,0.7,0.74,6.04,5.02,0.74,1
0,2,2785246.0,2754200.0,17254.97,2720380.25,2788019.75,0.7,0.74,5.63,4.53,0.74,1
1,2,2785246.0,2787800.0,17605.55,2753293.25,2822306.75,0.7,0.74,5.75,4.64,0.74,1
2,2,2785246.0,2783000.0,16503.94,2750652.25,2815347.75,0.71,0.74,5.74,4.73,0.74,1
3,2,2785246.0,2786600.0,17390.71,2752514.25,2820685.75,0.7,0.74,5.61,4.6,0.74,1
4,2,2785246.0,2756200.0,17589.94,2721723.75,2790676.25,0.72,0.74,5.65,4.54,0.74,1
5,2,2785246.0,2775800.0,16146.1,2744153.75,2807446.25,0.72,0.75,5.75,4.63,0.75,1
6,2,2785246.0,2775400.0,16285.19,2743481.0,2807319.0,0.72,0.74,5.6,4.59,0.74,1
7,2,2785246.0,2756800.0,17183.67,2723120.0,2790480.0,0.72,0.75,5.52,4.5,0.75,1
