Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,227014.0,231600.0,5179.82,221447.56,241752.44,0.07,0.07,0.73,0.6,0.07,1
1,1,227014.0,227400.0,5437.32,216742.86,238057.14,0.05,0.06,0.7,0.58,0.06,1
2,1,227014.0,224200.0,5223.71,213961.53,234438.47,0.07,0.07,0.7,0.58,0.07,1
3,1,227014.0,230800.0,5136.05,220733.34,240866.66,0.07,0.07,0.73,0.6,0.07,1
4,1,227014.0,223000.0,4892.91,213409.89,232590.11,0.07,0.07,0.71,0.58,0.07,1
5,1,227014.0,225400.0,4974.64,215649.7,235150.3,0.06,0.07,0.74,0.63,0.07,1
6,1,227014.0,225600.0,5366.78,215081.11,236118.89,0.07,0.07,0.71,0.58,0.07,1
7,1,227014.0,221200.0,4955.78,211486.67,230913.33,0.07,0.07,0.71,0.58,0.07,1
8,1,227014.0,238600.0,5045.92,228710.0,248490.0,0.06,0.07,0.7,0.57,0.07,0
9,1,227014.0,225800.0,4972.81,216053.28,235546.72,0.06,0.06,0.7,0.58,0.06,1
0,2,278356.0,276000.0,5406.12,265404.0,286596.0,0.06,0.07,0.66,0.52,0.07,1
1,2,278356.0,276400.0,5623.61,265377.72,287422.28,0.07,0.08,0.66,0.52,0.08,1
2,2,278356.0,274200.0,5372.09,263670.72,284729.28,0.07,0.07,0.67,0.54,0.07,1
3,2,278356.0,282400.0,5686.56,271254.34,293545.66,0.07,0.07,0.68,0.55,0.07,1
4,2,278356.0,276200.0,5257.58,265895.16,286504.84,0.07,0.07,0.65,0.52,0.07,1
5,2,278356.0,277600.0,5150.3,267505.41,287694.59,0.05,0.06,0.65,0.53,0.06,1
6,2,278356.0,282600.0,5004.96,272790.28,292409.72,0.06,0.06,0.65,0.54,0.06,1
7,2,278356.0,282000.0,5480.66,271257.91,292742.09,0.07,0.07,0.65,0.53,0.07,1
8,2,278356.0,276200.0,5787.28,264856.94,287543.06,0.06,0.07,0.66,0.53,0.07,1
9,2,278356.0,269800.0,5009.51,259981.36,279618.62,0.07,0.07,0.65,0.52,0.07,1
0,3,192924.0,191400.0,5163.81,181278.94,201521.06,0.06,0.06,0.64,0.52,0.06,1
1,3,192924.0,193200.0,4492.17,184395.34,202004.66,0.05,0.06,0.63,0.51,0.06,1
2,3,192924.0,199000.0,5320.53,188571.75,209428.25,0.07,0.07,0.66,0.53,0.07,1
3,3,192924.0,191000.0,4559.55,182063.28,199936.72,0.06,0.06,0.66,0.54,0.06,1
4,3,192924.0,197600.0,4999.73,187800.53,207399.47,0.06,0.07,0.64,0.51,0.07,1
5,3,192924.0,192800.0,5218.1,182572.52,203027.48,0.05,0.06,0.67,0.55,0.06,1
6,3,192924.0,188200.0,4862.31,178669.88,197730.12,0.06,0.06,0.67,0.56,0.06,1
7,3,192924.0,193000.0,5414.87,182386.86,203613.14,0.06,0.06,0.66,0.54,0.06,1
