Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,2280109.0,2272800.0,16629.5,2240206.25,2305393.75,0.09,0.14,5.58,5.07,0.14,1
1,1,2280109.0,2301000.0,16292.73,2269066.25,2332933.75,0.04,0.14,5.43,5.02,0.14,1
2,1,2280109.0,2279800.0,16459.02,2247540.25,2312059.75,0.12,0.13,5.66,5.26,0.13,1
3,1,2280109.0,2265800.0,16374.47,2233706.0,2297894.0,0.09,0.13,5.47,5.07,0.13,1
4,1,2280109.0,2279400.0,16512.5,2247035.5,2311764.5,0.1,0.14,5.37,4.96,0.14,1
5,1,2280109.0,2281000.0,16260.14,2249130.0,2312870.0,0.09,0.14,5.44,5.03,0.14,1
6,1,2280109.0,2281400.0,15959.83,2250118.75,2312681.25,0.14,0.14,5.42,5.0,0.14,1
7,1,2280109.0,2268200.0,16462.34,2235933.75,2300466.25,0.09,0.15,5.43,5.01,0.15,1
8,1,2280109.0,2262200.0,17337.38,2228218.75,2296181.25,0.06,0.14,5.52,5.02,0.14,1
9,1,2280109.0,2274400.0,15120.22,2244764.25,2304035.75,0.03,0.13,5.31,4.91,0.13,1
0,2,2785246.0,2775600.0,16314.8,2743623.0,2807577.0,0.08,0.14,4.91,4.49,0.14,1
1,2,2785246.0,2785200.0,16834.22,2752205.0,2818195.0,0.08,0.14,4.9,4.49,0.14,1
2,2,2785246.0,2794200.0,17086.12,2760711.25,2827688.75,0.08,0.14,5.0,4.59,0.14,1
3,2,2785246.0,2748600.0,16783.78,2715703.75,2781496.25,0.09,0.13,4.9,4.5,0.13,0
4,2,2785246.0,2794200.0,18324.95,2758283.0,2830117.0,0.09,0.14,4.91,4.5,0.14,1
5,2,2785246.0,2765000.0,16757.01,2732156.25,2797843.75,0.09,0.14,4.9,4.49,0.14,1
6,2,2785246.0,2809000.0,17967.97,2773782.75,2844217.25,0.09,0.14,5.12,4.7,0.14,1
7,2,2785246.0,2743800.0,17935.12,2708647.25,2778952.75,0.09,0.14,5.13,4.72,0.14,0
8,2,2785246.0,2805000.0,17907.97,2769900.5,2840099.5,0.09,0.14,4.88,4.47,0.14,1
9,2,2785246.0,2782600.0,17506.14,2748288.0,2816912.0,0.08,0.13,5.13,4.7,0.14,1
0,3,1928020.0,1908200.0,15726.99,1877375.12,1939024.88,0.09,0.13,5.26,4.77,0.13,1
1,3,1928020.0,1923000.0,15876.48,1891882.12,1954117.88,0.08,0.13,5.54,5.04,0.13,1
2,3,1928020.0,1941800.0,17847.65,1906818.62,1976781.38,0.08,0.14,4.91,4.5,0.14,1
3,3,1928020.0,1947000.0,16745.69,1914178.5,1979821.5,0.07,0.12,4.93,4.53,0.12,1
4,3,1928020.0,1925200.0,15830.08,1894173.0,1956227.0,0.08,0.13,4.9,4.5,0.13,1
5,3,1928020.0,1945200.0,17642.7,1910620.25,1979779.75,0.09,0.13,4.92,4.52,0.13,1
6,3,1928020.0,1919600.0,16127.87,1887989.38,1951210.62,0.09,0.13,4.93,4.53,0.13,1
7,3,1928020.0,1953800.0,15745.1,1922939.62,1984660.38,0.08,0.13,4.91,4.51,0.13,1
8,3,1928020.0,1932200.0,17215.72,1898457.12,1965942.88,0.08,0.13,4.94,4.54,0.13,1
9,3,1928020.0,1931000.0,16256.54,1899137.12,1962862.88,0.07,0.12,5.13,4.73,0.12,1
0,4,2180873.0,2171200.0,17068.48,2137745.75,2204654.25,0.09,0.14,6.51,6.01,0.14,1
1,4,2180873.0,2164400.0,15848.33,2133337.25,2195462.75,0.1,0.14,6.66,6.15,0.14,1
2,4,2180873.0,2153800.0,16166.93,2122112.75,2185487.25,0.11,0.13,6.24,5.84,0.13,1
3,4,2180873.0,2188600.0,16972.45,2155334.0,2221866.0,0.08,0.13,6.38,5.97,0.13,1
4,4,2180873.0,2160600.0,16587.35,2128088.75,2193111.25,0.09,0.13,6.24,5.84,0.13,1
5,4,2180873.0,2168600.0,17241.1,2134807.5,2202392.5,0.09,0.13,6.47,6.07,0.13,1
6,4,2180873.0,2164800.0,15688.56,2134050.5,2195549.5,0.09,0.13,6.37,5.97,0.13,1
7,4,2180873.0,2155200.0,17422.32,2121052.25,2189347.75,0.09,0.13,6.24,5.84,0.13,1
8,4,2180873.0,2177400.0,16747.63,2144574.75,2210225.25,0.07,0.13,6.36,5.96,0.13,1
9,4,2180873.0,2165800.0,16236.84,2133975.75,2197624.25,0.09,0.13,6.24,5.84,0.13,1
0,5,4388299.0,4387200.0,15098.87,4357606.0,4416794.0,0.06,0.13,6.74,6.33,0.13,1
1,5,4388299.0,4387000.0,16254.93,4355140.5,4418859.5,0.1,0.13,6.7,6.29,0.13,1
