Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,2280109.0,2321000.0,37656.34,2247193.5,2394806.5,0.02,0.03,6.14,5.12,0.03,1
1,1,2280109.0,2253000.0,38873.57,2176807.75,2329192.25,0.0,0.03,5.53,5.11,0.03,1
2,1,2280109.0,2268000.0,38059.69,2193403.0,2342597.0,0.02,0.02,5.27,4.95,0.02,1
3,1,2280109.0,2294000.0,37978.88,2219561.5,2368438.5,0.01,0.03,5.4,5.09,0.03,1
4,1,2280109.0,2340000.0,36180.03,2269087.25,2410912.75,0.01,0.02,5.2,4.91,0.02,1
5,1,2280109.0,2257000.0,37814.49,2182883.5,2331116.5,0.01,0.03,5.33,5.02,0.03,1
6,1,2280109.0,2246000.0,35795.64,2175840.5,2316159.5,0.01,0.03,5.35,5.05,0.03,1
7,1,2280109.0,2300000.0,37044.85,2227392.0,2372608.0,0.03,0.03,5.24,4.94,0.03,1
8,1,2280109.0,2222000.0,36790.04,2149891.5,2294108.5,0.02,0.03,5.37,5.07,0.03,1
9,1,2280109.0,2275000.0,38857.91,2198838.5,2351161.5,0.02,0.03,5.26,4.95,0.03,1
0,2,2785246.0,2794999.0,37350.84,2721791.25,2868206.75,0.01,0.02,4.93,4.55,0.02,1
1,2,2785246.0,2778999.0,37109.55,2706264.25,2851733.75,0.02,0.03,4.95,4.65,0.03,1
2,2,2785246.0,2858999.0,37976.77,2784564.5,2933433.5,0.02,0.03,5.0,4.69,0.03,1
3,2,2785246.0,2776999.0,41483.27,2695691.75,2858306.25,0.03,0.03,4.79,4.48,0.03,1
4,2,2785246.0,2727999.0,42938.36,2643839.75,2812158.25,0.0,0.02,4.76,4.47,0.02,1
5,2,2785246.0,2802999.0,40425.2,2723765.5,2882232.5,0.03,0.03,4.79,4.49,0.03,1
6,2,2785246.0,2800999.0,39935.0,2722726.5,2879271.5,0.02,0.03,5.01,4.7,0.03,1
7,2,2785246.0,2773999.0,38694.23,2698158.25,2849839.75,0.0,0.02,4.88,4.59,0.02,1
8,2,2785246.0,2810999.0,39496.89,2733585.0,2888413.0,0.02,0.03,5.04,4.74,0.03,1
9,2,2785246.0,2767999.0,39472.25,2690633.5,2845364.5,0.01,0.02,4.78,4.48,0.02,1
0,3,1928020.0,1940999.0,36614.16,1869235.25,2012762.75,0.02,0.02,4.79,4.5,0.02,1
1,3,1928020.0,1943999.0,34214.5,1876938.62,2011059.38,0.02,0.03,4.8,4.5,0.03,1
2,3,1928020.0,1854999.0,36077.84,1784286.38,1925711.62,0.01,0.02,4.81,4.52,0.02,0
3,3,1928020.0,1912999.0,32672.24,1848961.38,1977036.62,0.02,0.02,4.79,4.5,0.02,1
4,3,1928020.0,1951999.0,35075.2,1883251.62,2020746.38,0.01,0.03,4.79,4.49,0.03,1
5,3,1928020.0,1947999.0,39285.84,1870998.75,2024999.25,0.02,0.02,4.96,4.67,0.02,1
6,3,1928020.0,1979999.0,35266.28,1910877.12,2049120.88,0.01,0.02,4.8,4.5,0.02,1
7,3,1928020.0,1922999.0,36281.65,1851887.0,1994111.0,0.01,0.02,5.02,4.73,0.02,1
8,3,1928020.0,1928999.0,32778.51,1864753.12,1993244.88,0.03,0.03,5.04,4.73,0.03,1
9,3,1928020.0,1927999.0,35079.09,1859244.0,1996754.0,0.01,0.02,5.03,4.74,0.02,1
0,4,2180873.0,2200000.0,37057.3,2127367.75,2272632.25,0.01,0.03,6.29,5.89,0.03,1
1,4,2180873.0,2136000.0,36540.17,2064381.25,2207618.75,0.02,0.03,6.36,5.94,0.03,1
2,4,2180873.0,2237000.0,38617.4,2161310.0,2312690.0,0.03,0.03,6.38,6.08,0.03,1
3,4,2180873.0,2234000.0,39088.75,2157386.0,2310614.0,0.01,0.03,6.25,5.94,0.03,1
4,4,2180873.0,2203000.0,37035.07,2130411.25,2275588.75,0.0,0.02,6.19,5.9,0.02,1
5,4,2180873.0,2230000.0,36254.18,2158941.75,2301058.25,0.02,0.03,6.26,5.96,0.03,1
6,4,2180873.0,2160000.0,38603.73,2084336.75,2235663.25,0.02,0.02,6.36,6.07,0.02,1
7,4,2180873.0,2208000.0,38149.01,2133228.0,2282772.0,0.0,0.03,6.21,5.88,0.03,1
8,4,2180873.0,2187000.0,43364.19,2102006.25,2271993.75,0.01,0.03,6.38,6.07,0.03,1
9,4,2180873.0,2180000.0,36458.84,2108540.75,2251459.25,0.03,0.03,6.13,5.83,0.03,1
0,5,4388299.0,4386000.0,37157.93,4313170.5,4458829.5,0.03,0.03,6.78,6.38,0.03,1
1,5,4388299.0,4376000.0,34720.35,4307948.0,4444052.0,0.03,0.03,6.89,6.48,0.03,1
2,5,4388299.0,4437000.0,30768.29,4376694.0,4497306.0,0.02,0.02,6.58,6.29,0.02,1
3,5,4388299.0,4346000.0,35501.09,4276418.0,4415582.0,0.02,0.02,6.59,6.3,0.02,1
4,5,4388299.0,4441000.0,34740.75,4372908.0,4509092.0,0.02,0.02,6.75,6.46,0.02,1
5,5,4388299.0,4365000.0,32782.02,4300747.0,4429253.0,0.02,0.03,6.77,6.46,0.03,1
6,5,4388299.0,4397000.0,32604.78,4333094.5,4460905.5,0.01,0.02,6.64,6.35,0.02,1
