Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,22790627.0,22805000.0,55168.16,22696870.0,22913130.0,0.89,1.42,65.68,53.23,1.42,1
1,1,22790627.0,22805800.0,54455.81,22699066.0,22912534.0,0.97,1.43,64.9,52.37,1.43,1
2,1,22790627.0,22651000.0,53050.14,22547022.0,22754978.0,0.87,1.42,74.73,61.75,1.42,0
3,1,22790627.0,22795800.0,53398.64,22691138.0,22900462.0,0.91,1.45,73.19,60.74,1.45,1
4,1,22790627.0,22723000.0,54735.88,22615718.0,22830282.0,0.91,1.45,73.38,60.8,1.45,1
5,1,22790627.0,22850600.0,51996.69,22748686.0,22952514.0,0.94,1.5,71.49,58.91,1.5,1
6,1,22790627.0,22804200.0,54073.67,22698216.0,22910184.0,0.92,1.39,68.59,56.65,1.39,1
7,1,22790627.0,22742400.0,51995.42,22640488.0,22844312.0,0.85,1.39,66.58,57.56,1.39,1
8,1,22790627.0,22838800.0,50697.45,22739432.0,22938168.0,0.96,1.53,66.84,60.39,1.53,1
9,1,22790627.0,22818800.0,49282.08,22722208.0,22915392.0,0.89,1.45,65.97,56.92,1.45,1
0,2,27856078.0,27811400.0,54616.45,27704352.0,27918448.0,0.87,1.45,62.55,50.27,1.45,1
1,2,27856078.0,27900400.0,54455.75,27793666.0,28007134.0,0.84,1.45,71.42,58.95,1.45,1
2,2,27856078.0,27842600.0,51456.44,27741746.0,27943454.0,0.88,1.47,63.78,51.23,1.47,1
3,2,27856078.0,27761400.0,58146.14,27647434.0,27875366.0,0.88,1.53,66.59,54.01,1.53,1
4,2,27856078.0,27845200.0,60340.33,27726932.0,27963468.0,0.98,1.59,69.12,56.48,1.59,1
5,2,27856078.0,27847600.0,57730.91,27734448.0,27960752.0,0.89,1.5,63.2,50.89,1.5,1
6,2,27856078.0,27964000.0,55725.62,27854778.0,28073222.0,0.89,1.54,65.22,52.68,1.54,1
7,2,27856078.0,27886000.0,62110.25,27764264.0,28007736.0,0.88,1.49,65.25,52.7,1.49,1
8,2,27856078.0,27787200.0,57511.41,27674478.0,27899922.0,0.87,1.5,65.5,52.99,1.5,1
9,2,27856078.0,27896200.0,60684.28,27777258.0,28015142.0,0.91,1.48,64.33,52.67,1.48,1
0,3,19280625.0,19337600.0,49572.21,19240438.0,19434762.0,0.72,1.33,60.18,50.58,1.33,1
1,3,19280625.0,19176200.0,49311.55,19079550.0,19272850.0,0.71,1.36,60.66,54.33,1.36,0
2,3,19280625.0,19275800.0,49948.54,19177900.0,19373700.0,0.86,1.48,65.12,54.6,1.48,1
3,3,19280625.0,19337400.0,53082.24,19233358.0,19441442.0,0.96,1.51,64.03,55.14,1.51,1
4,3,19280625.0,19233000.0,49174.7,19136618.0,19329382.0,1.13,1.33,64.78,52.44,1.33,1
5,3,19280625.0,19281200.0,52102.18,19179080.0,19383320.0,0.92,1.49,69.06,56.52,1.49,1
6,3,19280625.0,19332800.0,50209.73,19234388.0,19431212.0,0.85,1.36,67.85,55.43,1.36,1
7,3,19280625.0,19250000.0,49607.03,19152770.0,19347230.0,0.99,1.38,61.8,49.37,1.38,1
8,3,19280625.0,19350000.0,53548.48,19245044.0,19454956.0,0.87,1.33,66.48,54.05,1.33,1
9,3,19280625.0,19328400.0,48533.32,19233274.0,19423526.0,0.78,1.35,60.0,47.63,1.35,1
0,4,21809885.0,21751800.0,54937.55,21644122.0,21859478.0,0.89,1.44,77.1,64.57,1.44,1
1,4,21809885.0,21905200.0,49705.78,21807776.0,22002624.0,0.87,1.39,78.16,65.72,1.39,1
2,4,21809885.0,21848600.0,54189.87,21742388.0,21954812.0,0.96,1.47,76.49,63.99,1.47,1
3,4,21809885.0,21790200.0,50083.38,21692036.0,21888364.0,0.87,1.44,79.61,67.04,1.44,1
4,4,21809885.0,21785400.0,55236.0,21677138.0,21893662.0,0.87,1.39,74.94,62.48,1.39,1
5,4,21809885.0,21789400.0,56305.96,21679040.0,21899760.0,0.85,1.37,76.55,64.11,1.37,1
6,4,21809885.0,21752600.0,48855.61,21656844.0,21848356.0,0.86,1.38,77.37,64.84,1.38,1
7,4,21809885.0,21853000.0,55015.57,21745170.0,21960830.0,0.89,1.41,84.63,72.16,1.41,1
8,4,21809885.0,21788600.0,52593.86,21685516.0,21891684.0,0.8,1.5,78.59,66.11,1.5,1
9,4,21809885.0,21755800.0,50678.4,21656470.0,21855130.0,0.92,1.46,76.63,64.15,1.46,1
0,5,43877172.0,44016000.0,50861.25,43916312.0,44115688.0,0.96,1.5,84.57,71.92,1.5,0
1,5,43877172.0,43906600.0,45251.25,43817908.0,43995292.0,0.91,1.42,83.58,71.14,1.42,1
2,5,43877172.0,43905800.0,49905.55,43807984.0,44003616.0,0.81,1.35,81.41,69.08,1.35,1
3,5,43877172.0,43898000.0,46859.59,43806156.0,43989844.0,0.95,1.44,79.88,67.3,1.44,1
4,5,43877172.0,43869000.0,45094.41,43780616.0,43957384.0,0.99,1.5,79.8,67.35,1.5,1
5,5,43877172.0,43856000.0,54335.33,43749504.0,43962496.0,0.84,1.4,84.6,72.19,1.4,1
6,5,43877172.0,43938000.0,48803.61,43842344.0,44033656.0,0.93,1.45,77.9,69.11,1.45,1
7,5,43877172.0,43980400.0,50596.89,43881232.0,44079568.0,0.96,1.47,83.31,71.66,1.47,0
8,5,43877172.0,43956400.0,45523.57,43867172.0,44045628.0,0.92,1.4,83.41,70.91,1.4,1
9,5,43877172.0,43862200.0,46856.92,43770360.0,43954040.0,0.85,1.35,81.06,68.7,1.35,1
0,6,16357096.0,16326800.0,50980.05,16226879.0,16426721.0,0.87,1.32,72.06,59.66,1.32,1
1,6,16357096.0,16275400.0,52995.39,16171529.0,16379271.0,0.88,1.34,72.05,59.71,1.35,1
2,6,16357096.0,16276000.0,47905.02,16182106.0,16369894.0,0.88,1.31,76.06,63.78,1.31,1
