Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,22790627.0,22778200.0,37730.07,22704250.0,22852150.0,1.77,2.95,78.44,64.49,2.95,1
1,1,22790627.0,22795800.0,37180.93,22722926.0,22868674.0,1.83,2.95,78.18,64.2,2.95,1
2,1,22790627.0,22760400.0,36094.28,22689656.0,22831144.0,1.75,2.97,77.9,63.94,2.97,1
3,1,22790627.0,22772800.0,37695.82,22698916.0,22846684.0,1.81,2.95,78.88,64.85,2.95,1
4,1,22790627.0,22786400.0,35881.62,22716072.0,22856728.0,1.71,2.93,74.9,60.89,2.93,1
5,1,22790627.0,22836200.0,31856.8,22773760.0,22898640.0,1.77,2.93,74.48,60.35,2.93,1
6,1,22790627.0,22790000.0,39450.79,22712676.0,22867324.0,1.8,2.94,78.75,64.86,2.94,1
7,1,22790627.0,22817100.0,37630.39,22743344.0,22890856.0,1.79,3.0,75.12,60.96,3.0,1
8,1,22790627.0,22771600.0,34323.71,22704326.0,22838874.0,1.8,3.0,74.5,60.43,3.0,1
9,1,22790627.0,22751000.0,37430.69,22677636.0,22824364.0,1.75,2.94,72.35,57.96,2.94,1
0,2,27856078.0,27881500.0,39056.89,27804948.0,27958052.0,1.84,3.0,66.83,52.84,3.0,1
1,2,27856078.0,27817200.0,38460.41,27741818.0,27892582.0,1.69,2.99,63.21,49.22,2.99,1
2,2,27856078.0,27859100.0,37071.35,27786440.0,27931760.0,1.75,3.07,70.93,56.89,3.07,1
3,2,27856078.0,27845000.0,38872.99,27768808.0,27921192.0,1.99,3.04,68.07,53.96,3.04,1
4,2,27856078.0,27860700.0,34739.72,27792610.0,27928790.0,1.55,3.06,68.88,54.72,3.06,1
5,2,27856078.0,27876800.0,40945.81,27796546.0,27957054.0,1.71,2.99,63.67,49.54,2.99,1
6,2,27856078.0,27814500.0,37328.78,27741336.0,27887664.0,1.79,3.02,72.31,57.76,3.02,1
7,2,27856078.0,27874100.0,39250.94,27797168.0,27951032.0,1.71,3.11,68.12,53.93,3.11,1
8,2,27856078.0,27844800.0,40049.61,27766302.0,27923298.0,1.78,3.04,68.45,54.35,3.04,1
9,2,27856078.0,27904600.0,40898.86,27824438.0,27984762.0,1.76,3.01,69.64,55.54,3.01,1
0,3,19280625.0,19316100.0,34462.12,19248554.0,19383646.0,1.75,2.77,69.52,55.68,2.77,1
